"Position","Name","Type","Signal","Label"
"90","PG5","I/O","GPIO_EXTI5","MCU_EXTI5_SX_DIO2_TXRXSW"
"91","PG6","Input","GPIO_Input","MCU_LPUART_RI_IN"
"92","PG7","Output","GPIO_Output","MCU_LPUART_DTR_OUT"
"93","PG8","I/O","LPUART1_RX","MCU_LPUART_RX_IN"
"94","VSS","Power","",""
"95","VDDIO2","Power","",""
"96","PC6","I/O","TIM3_CH1","MCU_PWM_LED_R"
"97","PC7","Input","GPIO_Input","MCU_LPUART_DCD_IN"
"98","PC8","I/O","",""
"99","PC9","I/O","",""
"100","PA8","I/O","RCC_MCO","MCU_MCO"
"101","PA9","I/O","USB_OTG_FS_VBUS","MCU_VBUS_IN"
"102","PA10","I/O","",""
"103","PA11","I/O","USB_OTG_FS_DM","MCU_USB_N"
"104","PA12","I/O","USB_OTG_FS_DP","MCU_USB_P"
"105","PA13 (JTMS/SWDIO)","I/O","SYS_JTMS-SWDIO","MCU_SWDIO"
"106","VDDUSB","Power","",""
"107","VSS","Power","",""
"108","VDD","Power","",""
"109","PA14 (JTCK/SWCLK)","I/O","SYS_JTCK-SWCLK","MCU_SWCLK"
"110","PA15 (JTDI)","I/O","",""
"111","PC10","I/O","SPI3_SCK","MCU_SPI3_SCK"
"112","PC11","I/O","SPI3_MISO","MCU_SPI3_MISO"
"113","PC12","I/O","SPI3_MOSI","MCU_SPI3_MOSI"
"114","PD0","I/O","",""
"115","PD1","I/O","SPI2_SCK","MCU_SPI2_SCK"
"116","PD2","I/O","",""
"117","PD3","I/O","SPI2_MISO","MCU_SPI2_MISO"
"118","PD4","I/O","",""
"119","PD5","I/O","",""
"120","VSS","Power","",""
"121","VDD","Power","",""
"122","PD6","I/O","",""
"123","PD7","I/O","QUADSPI_BK2_IO3",""
"124","PG9","I/O","USART1_TX","MCU_UART1_TX_OUT"
"125","PG10","I/O","USART1_RX","MCU_UART1_RX_IN"
"126","PG11","I/O","USART1_CTS","MCU_UART1_CTS_IN"
"127","PG12","I/O","USART1_RTS","MCU_UART1_RTS_OUT"
"128","PG13","I/O","I2C1_SDA","MCU_I2C1_SDA"
"129","PG14","I/O","I2C1_SCL","MCU_I2C1_SCL"
"130","VSS","Power","",""
"131","VDDIO2","Power","",""
"132","PB3 (JTDO/TRACESWO)","Input","GPIO_Input","MCU_PN00_INOUT"
"133","PB4 (NJTRST)","I/O","",""
"134","PB5","Input","GPIO_Input","MCU_PN01_INOUT"
"135","PB6","Input","GPIO_Input","MCU_PN02_INOUT"
"136","PB7","Input","GPIO_Input","MCU_PN03_INOUT"
"137","PH3-BOOT0","I/O","",""
"138","PB8","I/O","",""
"139","PB9","I/O","",""
"140","PE0","I/O","",""
"141","PE1","I/O","",""
"142","VDD12","Power","",""
"143","VSS","Power","",""
"144","VDD","Power","",""
