Configuration	HFT-Core-Module_TrueSTUDIO
STM32CubeMX 	4.27.0
Date	11/03/2018
MCU	STM32L496ZGTxP



PERIPHERALS	MODES	FUNCTIONS	PINS
81	PD12	SAI2_FS_A	I2S2A_FS_IN
85	PD14	GPIO_Input	MCU_PS02_INOUT
86	PD15	GPIO_Input	MCU_PS03_INOUT
87	PG2	GPIO_EXTI2	MCU_EXTI2_SX_DIO1_TXRXDONE_IN
88	PG3	GPIO_EXTI3	MCU_EXTI3_SX_DIO3_TIMEOUT_IN
89	PG4	EVENTOUT	MCU_EVENTOUT
90	PG5	GPIO_EXTI5	MCU_EXTI5_SX_DIO2_TXRXSW_IN
91	PG6	GPIO_Input	MCU_LPUART_RI_IN
92	PG7	GPIO_Output	MCU_LPUART_DTR_OUT
93	PG8	LPUART1_RX	MCU_LPUART_RX_IN
96	PC6	TIM3_CH1	MCU_PWM_LED_R_OUT
97	PC7	GPIO_Input	MCU_LPUART_DCD_IN
100	PA8	RCC_MCO	MCU_MCO
101	PA9	USB_OTG_FS_VBUS	MCU_VBUS_IN
103	PA11	USB_OTG_FS_DM	PA_USB_N
104	PA12	USB_OTG_FS_DP	PA_USB_P
105	PA13 (JTMS/SWDIO)	SYS_JTMS-SWDIO	MCU_SWDIO
109	PA14 (JTCK/SWCLK)	SYS_JTCK-SWCLK	MCU_SWCLK
111	PC10	SPI3_SCK	MCU_SPI3_SCK
112	PC11	SPI3_MISO	MCU_SPI3_MISO
113	PC12	SPI3_MOSI	MCU_SPI3_MOSI
115	PD1	SPI2_SCK	MCU_SPI2_SCK
117	PD3	SPI2_MISO	MCU_SPI2_MISO
123	PD7	QUADSPI_BK2_IO3	
124	PG9	USART1_TX	UART1_TX_OUT
125	PG10	USART1_RX	UART1_RX_IN
126	PG11	USART1_CTS	UART1_CTS_IN
127	PG12	USART1_RTS	UART1_RTS_OUT
128	PG13	I2C1_SDA	MCU_I2C1_SDA
129	PG14	I2C1_SCL	MCU_I2C1_SCL
132	PB3 (JTDO/TRACESWO)	GPIO_Input	MCU_PN00_INOUT
134	PB5	GPIO_Input	MCU_PN01_INOUT
135	PB6	GPIO_Input	MCU_PN02_INOUT
136	PB7	GPIO_Input	MCU_PN03_INOUT



SOFTWARE PROJECT

Project Settings : 
Project Name : HFT-Core-Module_TrueSTUDIO
Project Folder : Z:\nfs_ds_nfs\git\HFT-Core-Module__SW_1V1\SW
Toolchain / IDE : TrueSTUDIO
Firmware Package Name and Version : STM32Cube FW_L4 V1.13.0


Code Generation Settings : 
STM32Cube Firmware Library Package : Copy only the necessary library files
Generate peripheral initialization as a pair of '.c/.h' files per peripheral : Yes
Backup previously generated files when re-generating : No
Delete previously generated files when not re-generated : Yes
Set all free pins as analog (to optimize the power consumption) : Yes


Toolchains Settings : 
Compiler Optimizations : 





