Configuration	TrueSTUDIO
STM32CubeMX 	4.24.0
Date	03/07/2018
MCU	STM32L496ZGTxP



PERIPHERALS	MODES	FUNCTIONS	PINS
TIM17	Output Compare CH1	TIM17_CH1	PE1
USART1	Asynchronous	USART1_RX	PA10
USART1	Asynchronous	USART1_TX	PG9
USART1	CTS/RTS	USART1_CTS	PG11
USART1	CTS/RTS	USART1_RTS	PG12
USART2	Asynchronous	USART2_RX	PD6
USART2	Asynchronous	USART2_TX	PA2
USART2	CTS/RTS	USART2_CTS	PA0
USART2	CTS/RTS	USART2_RTS	PD4
USART3	Asynchronous	USART3_RX	PC5
USART3	Asynchronous	USART3_TX	PC4
USART3	CTS/RTS	USART3_CTS	PA6
USART3	CTS/RTS	USART3_RTS	PB1
USB_OTG_FS	Device_Only	USB_OTG_FS_DM	PA11
USB_OTG_FS	Device_Only	USB_OTG_FS_DP	PA12
USB_OTG_FS	VBUS sensing	USB_OTG_FS_VBUS	PA9



Pin Nb	PINs	FUNCTIONs	LABELs
5	PE6	SAI1_SD_A	
8	PC14-OSC32_IN (PC14)	RCC_OSC32_IN	
9	PC15-OSC32_OUT (PC15)	RCC_OSC32_OUT	
10	PF0	I2C2_SDA	
11	PF1	I2C2_SCL	
14	PF4	ADC3_IN7	
15	PF5	ADC3_IN8	
18	PF6	TIM5_CH1	
19	PF7	TIM5_CH2	
20	PF8	TIM5_CH3	
21	PF9	TIM5_CH4	
23	PH0-OSC_IN (PH0)	RCC_OSC_IN	
26	PC0	ADC1_IN1	
27	PC1	ADC1_IN2	
28	PC2	ADC2_IN3	
29	PC3	ADC2_IN4	
32	VREF+	VREFBUF_OUT	
34	PA0	USART2_CTS	
35	PA1	OPAMP1_VINM	
36	PA2	USART2_TX	
37	PA3	OPAMP1_VOUT	
40	PA4	DAC1_OUT1	
41	PA5	DAC1_OUT2	
42	PA6	USART3_CTS	
43	PA7	OPAMP2_VINM	
44	PC4	USART3_TX	
45	PC5	USART3_RX	
46	PB0	OPAMP2_VOUT	
47	PB1	USART3_RTS	
48	PB2	COMP1_INP	
49	PF11	ADC1_EXTI11 ADC3_EXTI11 ADC2_EXTI11	
54	PF14	I2C4_SCL	
55	PF15	ADC1_EXTI15 ADC3_EXTI15 ADC2_EXTI15	
58	PE7	SAI1_SD_B	
59	PE8	SAI1_SCK_B	
60	PE9	SAI1_FS_B	
63	PE10	SAI1_MCLK_B	
65	PE12	SPI1_NSS	
66	PE13	SPI1_SCK	
67	PE14	SPI1_MISO	
68	PE15	SPI1_MOSI	
69	PB10	SPI2_SCK	
73	PB12	SPI2_NSS	
74	PB13	SAI2_SCK_A	
75	PB14	SPI2_MISO	
76	PB15	SPI2_MOSI	
80	PD11	SAI2_SD_A	
81	PD12	SAI2_FS_A	
82	PD13	I2C4_SDA	
87	PG2	SAI2_SCK_B	
88	PG3	SAI2_FS_B	
90	PG5	SAI2_SD_B	
92	PG7	I2C3_SCL	
93	PG8	I2C3_SDA	
100	PA8	SWPMI1_IO	
101	PA9	USB_OTG_FS_VBUS	
102	PA10	USART1_RX	
103	PA11	USB_OTG_FS_DM	
104	PA12	USB_OTG_FS_DP	
105	PA13 (JTMS/SWDIO)	SYS_JTMS-SWDIO	
109	PA14 (JTCK/SWCLK)	SYS_JTCK-SWCLK	
110	PA15 (JTDI)	SPI3_NSS	
111	PC10	SPI3_SCK	
112	PC11	SPI3_MISO	
113	PC12	SPI3_MOSI	
118	PD4	USART2_RTS	
122	PD6	USART2_RX	
124	PG9	USART1_TX	
126	PG11	USART1_CTS	
127	PG12	USART1_RTS	
128	PG13	I2C1_SDA	
129	PG14	I2C1_SCL	
132	PB3 (JTDO/TRACESWO)	SYS_JTDO-SWO	
133	PB4 (NJTRST)	COMP2_INP	
138	PB8	TIM16_CH1	
139	PB9	IR_OUT	
141	PE1	TIM17_CH1	



SOFTWARE PROJECT

Project Settings : 
Project Name : TrueSTUDIO
Project Folder : \\.psf\Home\nfs_ds_nfs\git\HFT-Core-Module__SW\SW\TrueSTUDIO
Toolchain / IDE : TrueSTUDIO
Firmware Package Name and Version : STM32Cube FW_L4 V1.11.0


Code Generation Settings : 
STM32Cube Firmware Library Package : Copy only the necessary library files
Generate peripheral initialization as a pair of '.c/.h' files per peripheral : No
Backup previously generated files when re-generating : No
Delete previously generated files when not re-generated : Yes
Set all free pins as analog (to optimize the power consumption) : No


Toolchains Settings : 
Compiler Optimizations : Balanced Size/Speed






