Configuration	HFT-Core-Module_TrueSTUDIO
STM32CubeMX 	4.26.1
Date	09/11/2018
MCU	STM32L496ZGTxP



PERIPHERALS	MODES	FUNCTIONS	PINS
SPI1	Full-Duplex Master	SPI1_SCK	PE13
SPI3	Full-Duplex Master	SPI3_MISO	PC11
SPI3	Full-Duplex Master	SPI3_MOSI	PC12
SPI3	Full-Duplex Master	SPI3_SCK	PC10
SYS	Serial Wire	SYS_JTCK-SWCLK	PA14 (JTCK/SWCLK)
SYS	Serial Wire	SYS_JTMS-SWDIO	PA13 (JTMS/SWDIO)
SYS	SYS_WakeUp1	SYS_WKUP2	PC13
SYS	Power Voltage Detector In (Internal analog voltage)	SYS_V_PVD_IN	VP_SYS_V_PVD_IN
SYS	Internal voltage reference	VREFBUF_OUT	VREF+
SYS	TIM2	SYS_VS_tim2	VP_SYS_VS_tim2
TIM3	Internal Clock	TIM3_VS_ClockSourceINT	VP_TIM3_VS_ClockSourceINT
TIM3	PWM Generation CH1	TIM3_CH1	PC6
TIM3	PWM Generation CH2	TIM3_CH2	PA7
TIM3	PWM Generation CH3	TIM3_CH3	PB0
TIM5	Internal Clock	TIM5_VS_ClockSourceINT	VP_TIM5_VS_ClockSourceINT
TIM5	Input Capture direct mode	TIM5_CH1	PF6
TIM5	Input Capture direct mode	TIM5_CH2	PF7
TIM5	Input Capture direct mode	TIM5_CH3	PF8
TIM5	Input Capture direct mode	TIM5_CH4	PF9
TIM16	Enable_Timer	TIM16_VS_ClockSourceINT	VP_TIM16_VS_ClockSourceINT
TIM16	Input Capture direct mode from Remap	TIM16_VS_NoInput1	VP_TIM16_VS_NoInput1
TIM17	Enable_Timer	TIM17_VS_ClockSourceINT	VP_TIM17_VS_ClockSourceINT
TIM17	Input Capture direct mode from Remap	TIM17_VS_NoInput1	VP_TIM17_VS_NoInput1
USART1	Asynchronous	USART1_RX	PG10
USART1	Asynchronous	USART1_TX	PG9
USART1	CTS/RTS	USART1_CTS	PG11
USART1	CTS/RTS	USART1_RTS	PG12
USART2	Asynchronous	USART2_RX	PD6
USART2	Asynchronous	USART2_TX	PA2
USART2	CTS/RTS	USART2_CTS	PA0
USART2	CTS/RTS	USART2_RTS	PD4
USART3	Asynchronous	USART3_RX	PC5
USART3	Asynchronous	USART3_TX	PC4
USART3	CTS/RTS	USART3_CTS	PA6
USART3	CTS/RTS	USART3_RTS	PB1
USB_OTG_FS	Device_Only	USB_OTG_FS_DM	PA11
USB_OTG_FS	Device_Only	USB_OTG_FS_DP	PA12
USB_OTG_FS	VBUS sensing	USB_OTG_FS_VBUS	PA9



Pin Nb	PINs	FUNCTIONs	LABELs
1	PE2	GPIO_Input	MCU_INOUT_PW03
2	PE3	SAI1_SD_B	I2S1B_SD_OUT
3	PE4	GPIO_Input	MCU_INOUT_PW02
4	PE5	GPIO_Input	MCU_INOUT_PW01
7	PC13	SYS_WKUP2	MCU_IN_WAKEUP
8	PC14-OSC32_IN (PC14)	RCC_OSC32_IN	MCU_OSC32_IN
9	PC15-OSC32_OUT (PC15)	RCC_OSC32_OUT	MCU_OSC32_OUT
10	PF0	I2C2_SDA	MCU_I2C2_SDA
11	PF1	I2C2_SCL	MCU_I2C2_SCL
12	PF2	GPIO_Input	MCU_INOUT_PW00
13	PF3	ADC3_IN6	ADC3_IN6_20MHZ_PULL
18	PF6	TIM5_CH1	MCU_IN_TIMCAP_N
19	PF7	TIM5_CH2	MCU_IN_TIMCAP_W
20	PF8	TIM5_CH3	MCU_IN_TIMCAP_S
21	PF9	TIM5_CH4	MCU_IN_TIMCAP_VSOL
22	PF10	EVENTOUT	MCU_EVENTOUT_PF10
23	PH0-OSC_IN (PH0)	RCC_OSC_IN	MCU_HSE
26	PC0	GPIO_Output	MCU_OUT_VDD12_EN
27	PC1	GPIO_Output	MCU_OUT_HICUR_EN
28	PC2	GPIO_Output	MCU_OUT_VUSB_EN
29	PC3	GPIO_Output	MCU_OUT_20MHZ_EN
32	VREF+	VREFBUF_OUT	MCU_OUT_VREF+
34	PA0	USART2_CTS	UART2_CTS_IN
36	PA2	USART2_TX	UART2_TX_OUT
37	PA3	ADC2_IN8 ADC1_IN8	MCU_VSOL_ADC1
42	PA6	USART3_CTS	UART3_CTS_IN
43	PA7	TIM3_CH2	MCU_OUT_PWM_LED_G
44	PC4	USART3_TX	UART3_TX_OUT
45	PC5	USART3_RX	UART3_RX_IN
46	PB0	TIM3_CH3	MCU_OUT_PWM_LED_B
47	PB1	USART3_RTS	UART3_RTS_OUT
50	PF12	GPIO_Output	MCU_OUT_LCD_nRST
54	PF14	I2C4_SCL	MCU_I2C4_SCL
57	PG1	GPIO_Input	MCU_IN_AX_GPIO1
58	PE7	GPIO_Input	MCU_IN_AX_IRQ
59	PE8	SAI1_SCK_B	I2S1B_SCK_OUT
60	PE9	SAI1_FS_B	I2S1B_FS_OUT
63	PE10	SAI1_MCLK_B	I2S1B_MCLK_OUT
64	PE11	GPIO_Output	MCU_OUT_AX_SEL
65	PE12	GPIO_Output	MCU_OUT_SX_SEL
66	PE13	SPI1_SCK	MCU_SPI1_SCK
67	PE14	SPI1_MISO	MCU_SPI1_MISO
68	PE15	SPI1_MOSI	MCU_SPI1_MOSI
69	PB10	GPIO_Input	MCU_IN_RE_I
73	PB12	GPIO_Input	MCU_IN_RE_Q
74	PB13	SAI2_SCK_A	I2S2A_SCK_IN
75	PB14	GPIO_Input	MCU_IN_RE_PB
77	PD8	GPIO_Output	MCU_OUT_SX_nRESET
78	PD9	GPIO_Input	MCU_INOUT_PS00
79	PD10	GPIO_Input	MCU_INOUT_PS01
80	PD11	SAI2_SD_A	I2S2A_SD_IN
81	PD12	SAI2_FS_A	I2S2A_FS_IN
82	PD13	I2C4_SDA	MCU_I2C4_SDA
85	PD14	GPIO_Input	MCU_INOUT_PS02
86	PD15	GPIO_Input	MCU_INOUT_PS03
87	PG2	GPIO_EXTI2	MCU_IN_EXTI2_SX_DIO0_TXRXDONE
88	PG3	GPIO_EXTI3	MCU_IN_EXTI3_SX_DIO1_RXTO
89	PG4	EVENTOUT	MCU_EVENTOUT_PG4
92	PG7	I2C3_SCL	MCU_I2C3_SCL
93	PG8	I2C3_SDA	MCU_I2C3_SDA
96	PC6	TIM3_CH1	MCU_OUT_PWM_LED_R
98	PC8	GPIO_Input	MCU_IN_AUDIO_DAC_nRDY
99	PC9	GPIO_Output	MCU_OUT_AUDIO_DAC_SEL
100	PA8	RCC_MCO	MCU_MCO
101	PA9	USB_OTG_FS_VBUS	MCU_IN_VBUS
103	PA11	USB_OTG_FS_DM	PA_USB_N
104	PA12	USB_OTG_FS_DP	PA_USB_P
105	PA13 (JTMS/SWDIO)	SYS_JTMS-SWDIO	MCU_INOUT_SWDIO
109	PA14 (JTCK/SWCLK)	SYS_JTCK-SWCLK	MCU_IN_SWCLK
111	PC10	SPI3_SCK	MCU_SPI3_SCK
112	PC11	SPI3_MISO	MCU_SPI3_MISO
113	PC12	SPI3_MOSI	MCU_SPI3_MOSI
114	PD0	GPIO_Input	MCU_IN_AUDIO_ADC_MDAT1
115	PD1	GPIO_Input	MCU_IN_AUDIO_ADC_MDAT0
116	PD2	GPIO_Input	MCU_IN_AUDIO_ADC_nDR
117	PD3	GPIO_Output	MCU_OUT_AUDIO_ADC_nRESET
118	PD4	USART2_RTS	UART2_RTS_OUT
119	PD5	GPIO_Output	MCU_OUT_AUDIO_ADC_SEL
122	PD6	USART2_RX	UART2_RX_IN
123	PD7	GPIO_EXTI7	MCU_IN_EXTI7_INTR_SI5338
124	PG9	USART1_TX	UART1_TX_OUT
125	PG10	USART1_RX	UART1_RX_IN
126	PG11	USART1_CTS	UART1_CTS_IN
127	PG12	USART1_RTS	UART1_RTS_OUT
128	PG13	I2C1_SDA	MCU_I2C1_SDA
129	PG14	I2C1_SCL	MCU_I2C1_SCL
132	PB3 (JTDO/TRACESWO)	GPIO_Input	MCU_INOUT_PN00
134	PB5	GPIO_Input	MCU_INOUT_PN01
135	PB6	GPIO_Input	MCU_INOUT_PN02
136	PB7	GPIO_Input	MCU_INOUT_PN03
140	PE0	EVENTOUT	MCU_EVENTOUT_PE0



SOFTWARE PROJECT

Project Settings : 
Project Name : HFT-Core-Module_TrueSTUDIO
Project Folder : Z:\nfs_ds_nfs\git\HFT-Core-Module__SW\SW\TrueSTUDIO
Toolchain / IDE : TrueSTUDIO
Firmware Package Name and Version : STM32Cube FW_L4 V1.12.0


Code Generation Settings : 
STM32Cube Firmware Library Package : Copy only the necessary library files
Generate peripheral initialization as a pair of '.c/.h' files per peripheral : No
Backup previously generated files when re-generating : No
Delete previously generated files when not re-generated : Yes
Set all free pins as analog (to optimize the power consumption) : No


Toolchains Settings : 
Compiler Optimizations : 





