"Position","Name","Type","Signal","Label"
"74","PB13","I/O","SAI2_SCK_A",""
"75","PB14","I/O","SPI2_MISO",""
"76","PB15","I/O","SPI2_MOSI",""
"77","PD8","I/O","",""
"78","PD9","I/O","",""
"79","PD10","I/O","",""
"80","PD11","I/O","SAI2_SD_A",""
"81","PD12","I/O","SAI2_FS_A",""
"82","PD13","I/O","I2C4_SDA",""
"83","VSS","Power","",""
"84","VDD","Power","",""
"85","PD14","I/O","",""
"86","PD15","I/O","",""
"87","PG2","I/O","SAI2_SCK_B",""
"88","PG3","I/O","SAI2_FS_B",""
"89","PG4","I/O","",""
"90","PG5","I/O","SAI2_SD_B",""
"91","PG6","I/O","",""
"92","PG7","I/O","I2C3_SCL",""
"93","PG8","I/O","I2C3_SDA",""
"94","VSS","Power","",""
"95","VDDIO2","Power","",""
"96","PC6","I/O","",""
"97","PC7","I/O","",""
"98","PC8","I/O","",""
"99","PC9","I/O","",""
"100","PA8","I/O","SWPMI1_IO",""
"101","PA9","I/O","USB_OTG_FS_VBUS",""
"102","PA10","I/O","USART1_RX",""
"103","PA11","I/O","USB_OTG_FS_DM",""
"104","PA12","I/O","USB_OTG_FS_DP",""
"105","PA13 (JTMS/SWDIO)","I/O","SYS_JTMS-SWDIO",""
"106","VDDUSB","Power","",""
"107","VSS","Power","",""
"108","VDD","Power","",""
"109","PA14 (JTCK/SWCLK)","I/O","SYS_JTCK-SWCLK",""
"110","PA15 (JTDI)","I/O","SPI3_NSS",""
"111","PC10","I/O","SPI3_SCK",""
"112","PC11","I/O","SPI3_MISO",""
"113","PC12","I/O","SPI3_MOSI",""
"114","PD0","I/O","",""
"115","PD1","I/O","",""
"116","PD2","I/O","",""
"117","PD3","I/O","",""
"118","PD4","I/O","USART2_RTS",""
"119","PD5","I/O","",""
"120","VSS","Power","",""
"121","VDD","Power","",""
"122","PD6","I/O","USART2_RX",""
"123","PD7","I/O","",""
"124","PG9","I/O","USART1_TX",""
"125","PG10","I/O","",""
"126","PG11","I/O","USART1_CTS",""
"127","PG12","I/O","USART1_RTS",""
"128","PG13","I/O","I2C1_SDA",""
"129","PG14","I/O","I2C1_SCL",""
"130","VSS","Power","",""
"131","VDDIO2","Power","",""
"132","PB3 (JTDO/TRACESWO)","I/O","SYS_JTDO-SWO",""
"133","PB4 (NJTRST)","I/O","COMP2_INP",""
"134","PB5","I/O","",""
"135","PB6","I/O","",""
"136","PB7","I/O","",""
"137","PH3-BOOT0","I/O","",""
"138","PB8","I/O","TIM16_CH1",""
"139","PB9","I/O","IR_OUT",""
"140","PE0","I/O","",""
"141","PE1","I/O","TIM17_CH1",""
"142","VDD12","Power","",""
"143","VSS","Power","",""
"144","VDD","Power","",""
